MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustspeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
5.2,14.3,1.8,1.6,9.7,8,46,16,1,28,26,64,55,1018.2,1018.7,3,3,10.1,12.3,1,0
6.6,14.4,0.8,2,2,1,46,9,16,17,17,86,72,1021.6,1021.9,8,7,11.2,13.3,0,0
8.8,15.2,1.4,0.8,1,8,37,1,8,17,20,89,69,1021.2,1019.8,8,6,12.2,14.4,1,0
3.7,15.3,1,2.6,1.4,7,20,14,4,6,13,81,86,1021,1017.8,7,7,11.9,11.7,0,0
2.6,16.2,0.4,0.4,10.4,15,31,4,8,15,22,82,63,1016.9,1015.5,5,3,12.7,13.9,0,0
0.4,17.4,0,2.6,5.5,11,26,13,2,9,15,74,54,1017.3,1013.4,1,7,11.1,15.6,0,0
9,21.2,0,1.8,8.4,11,50,6,10,30,31,59,66,1007.9,1004.7,1,7,16.6,17.1,0,0
11.1,17.3,0.2,3.6,8.8,1,43,16,1,24,15,69,60,1017.6,1018.7,7,1,14,16.3,0,0
6.1,21.1,0.2,3.6,10.1,11,54,6,11,22,30,89,42,1016.4,1009,0,0,12.1,20.6,0,0
5.4,12.8,6.2,2.6,5.6,16,48,16,8,26,22,66,60,1019.2,1019.9,4,7,10.6,11.1,1,0
2.5,17.3,0,2,10.4,2,33,11,2,15,15,66,46,1021.8,1016.9,6,2,10.7,16.2,0,0
8.5,23,0,4,7.5,2,74,11,2,30,35,40,25,1010.5,1005.1,7,3,15.1,22.7,0,0
5.1,15,4.6,6.6,7,8,39,8,15,15,20,77,74,1024.1,1025.8,7,7,10.7,12.7,1,0
7.4,15.8,0.6,1.4,6.4,16,30,1,16,17,19,75,68,1032.7,1032.2,7,6,12.6,14.3,0,0
5.8,19.5,0,2,9.5,10,31,11,5,13,17,72,45,1033.2,1029,2,2,13.9,19.1,0,0
4.7,24.5,0.2,3.4,10.9,5,48,2,10,17,28,61,32,1024,1019,0,0,16.4,23.9,0,0
11.9,22.4,0,6.8,9.9,9,50,10,1,30,28,47,66,1011.8,1012.8,0,4,19.5,16.7,0,0
6.9,14.2,8.6,15.6,5.4,7,33,14,4,13,24,95,58,1020,1019,8,4,9.1,14.2,1,0
4,14,0.2,2.4,1.7,16,33,1,15,9,15,78,71,1022.8,1021.1,7,7,10.4,12.1,0,0
6,15.3,0.2,1.2,6.2,8,33,2,15,9,19,79,61,1018.4,1015.8,7,5,10.2,13.1,0,0
8.6,15.5,1.4,2.6,6.3,16,35,16,8,15,17,80,58,1025,1023.8,8,7,11.6,14.9,1,0
2.3,23.6,0.2,2.2,10.8,2,39,11,2,24,20,79,45,1023.2,1019.5,0,1,12.1,22.9,0,0
11.7,20.3,0,6.8,8.6,9,54,9,9,20,31,75,54,1014.9,1015.3,7,5,16.1,19.6,0,0
4.8,17,1.4,1.6,11.6,8,30,8,15,19,17,58,55,1022.2,1021.1,2,5,12.3,16,1,0
4.1,21.1,0,3.8,7.1,11,35,6,2,13,15,81,44,1019.4,1016.1,6,6,11.3,19.3,0,0
8.4,21.4,0,1.4,9.8,8,35,10,8,11,22,52,74,1011.5,1012.3,0,3,17.5,17.5,0,0
8,18.5,0,4.2,5.1,16,41,9,1,22,22,78,63,1016.1,1015.5,7,5,14.3,17.2,0,0
6.5,16.3,0,4.2,9.9,1,57,16,16,24,37,67,47,1019.9,1020,5,6,12.1,14.2,0,0
3.2,19.5,0.2,4,11,6,33,3,12,13,17,52,41,1025.1,1023,5,6,13.1,17.5,0,0
9.6,24.2,0,7,4,11,59,11,11,37,28,32,24,1019.3,1015.8,7,7,16.2,22.9,0,0
12.4,19.9,0.2,6.8,0.2,2,48,2,6,17,7,50,53,1013.6,1010.9,8,8,13.9,18.8,0,0
11.5,14.6,0.2,0.6,1.9,8,56,15,15,30,31,88,62,1013.1,1016.5,8,7,11.9,13.5,0,0
6.3,16.3,1,2.2,11.1,1,57,16,8,26,37,76,64,1015.9,1016.4,7,6,12.1,14.1,0,0
7.1,17.2,0.8,3.6,7.8,8,33,1,8,11,22,68,51,1023.4,1024.3,8,4,11.8,14.6,0,0
1.6,18.6,0.2,3.4,12.3,4,35,4,8,9,13,62,50,1025.8,1023.2,3,3,12,17.1,0,0
3.4,27,0,4,12.3,5,35,11,10,9,20,68,22,1019.7,1015.4,3,3,14.8,25.9,0,0
9.8,32.1,0,6.6,8.3,1,54,2,9,17,33,38,11,1012.5,1010.4,3,3,21.4,31,0,0
9.7,14.3,3.2,1.2,5.3,15,57,15,15,33,33,76,63,1015.7,1019.2,7,7,11.5,11.7,1,0
9.8,16.1,0.2,2.6,2.3,8,31,15,4,22,19,58,59,1022.3,1021,8,8,12.6,14.3,0,0
6,21.4,0,1,7.2,12,26,3,10,17,9,74,48,1018.1,1014.9,6,8,12.1,19.5,0,0
10.1,31.9,0,2.8,11.8,5,54,6,10,19,33,45,19,1012,1007.1,7,7,19.6,30,0,0
12.7,21.3,6.4,3,10.4,9,52,5,5,24,24,81,45,1009,1009.9,3,3,16.4,20.3,1,0
8,17,2,4.2,11.6,8,56,16,8,33,30,60,46,1021.4,1023.1,7,6,13.4,16.3,1,0
1.5,21.2,0,6,12.9,8,35,12,2,11,9,60,31,1027.5,1023.9,0,0,12.6,19.6,0,0
7.1,29.5,0,5.4,12.9,2,50,11,2,22,31,41,11,1021.3,1015.5,0,3,19.3,27.5,0,0
13.9,18.7,0,12.2,12.6,8,52,8,8,28,31,59,42,1018.5,1021.6,5,5,16.3,17.7,0,0
2.9,20,0,5,9.8,15,41,4,4,15,24,52,42,1025.5,1023,2,3.232683065,14.4,18.4,0,0
2.1,21.1,0,5.2,10.3,4,33,13,15,11,22,65,45,1020.9,1017.4,1,3.229390919,13.2,20,0,0
7.5,19.1,2.8,3.4,8,15,41,4,15,28,24,56,44,1018.9,1018.6,7,7,13.5,17.8,1,0
9.1,17.9,0,4,4.3,16,37,15,8,9,19,63,45,1019.2,1016.5,8,7,13.5,16.4,0,0
7.1,19.1,0.6,3.8,11.4,8,44,8,8,28,20,69,40,1017.1,1017.6,6,2,14,18.5,0,0
3,26,0,3.8,13.2,16,44,12,4,24,7,62,20,1021.2,1018.3,5,5,14.6,24.1,0,0
10.2,33.2,0,7.2,8,10,81,11,2,24,33,34,9,1014.1,1008.9,6,6,21.9,32.6,0,0
11.4,19.1,0,10.4,12.4,16,48,8,16,28,30,50,36,1016.6,1018.2,7,7,15.7,18.4,0,0
4.5,21,0,6,11.8,15,37,1,4,20,22,59,46,1021.4,1019.6,5,2,14.6,19.6,0,0
8.3,28.2,0,4.6,10.7,8,28,3,9,13,9,67,34,1019.4,1015,2,4,15.3,25.7,0,0
14.1,32.7,0,5.8,7.3,1,39,10,9,17,26,45,18,1011.1,1009.8,7,7,20.6,31.2,0,0
13.1,23.5,0,7,6.4,15,39,4,14,17,17,83,45,1018,1017.3,8,4,15.1,21.8,0,0
12,24.3,2,4.8,12.4,14,48,7,14,24,31,79,53,1015.5,1015.2,6,1,17.2,23.2,1,0
11.1,31.2,0.2,5.6,12.8,4,35,3,4,13,20,66,37,1013.3,1010.2,0,1,20.2,30.1,0,0
16.2,37.4,0,6.2,8.6,1,63,2,10,26,26,36,18,1004.5,1004,1,7,30.8,35.9,0,0
16,26.7,0.4,10.2,4.4,1,30,11,2,9,17,77,36,1010.5,1009.6,8,8,18.1,24.7,0,0
13.7,23.3,0,7.8,6.9,15,44,16,15,20,31,65,46,1015.8,1015.3,7,2,17.5,21.9,0,0
9.1,28.6,0,4,13.1,4,31,13,4,13,17,55,22,1018.9,1016.9,4,4,17.2,27.5,0,0
12.5,39.3,0,9,13.7,5,52,2,10,26,19,20,9,1013.9,1010,1,1,27.9,38.8,0,0
22.5,43.6,0,13.8,14,10,65,2,9,30,44,16,4,1004.6,1002.4,0,0,34.2,40.3,0,0
15.9,26.1,0,16,12.5,4,56,14,4,28,33,48,38,1015.4,1017.5,0,0,20.3,25.3,0,0
10.9,28.2,0,8,12.7,14,50,7,14,30,31,50,32,1024.5,1022.8,0,0,20.4,27.2,0,0
12.4,34,0,8.2,13.3,4,37,7,4,22,22,59,23,1018.7,1011.7,0,0,20.4,31.8,0,0
15.1,24.3,0,8,7.3,8,59,16,16,19,31,58,93,1005.9,1004.6,1,8,20.8,17.3,0,0
12.3,20.3,0.6,6.2,3,15,44,15,8,31,28,59,35,1010,1009.5,8,6,14.3,19.5,0,0
8,27.8,0,5,5.6,8,52,6,10,9,24,49,20,1009.7,1005.8,1,5,16.2,26.6,0,0
11.3,28,0.2,5.2,13.4,15,43,16,8,20,26,38,49,1002.9,1004.7,0,1,22.6,24.4,0,0
8.8,22.6,0,9,4.8,15,39,16,15,24,28,56,45,1013.3,1014.9,8,8,17.9,20.8,0,0
11.1,21.9,0,3.6,5,8,48,15,8,20,31,55,48,1016.2,1017.5,8,5,16.7,18.1,0,0
4.5,24.5,0,4,13,4,43,13,14,13,24,49,32,1022.4,1019.8,2,1,16.8,23.2,0,0
7.7,31,0,5.8,13.5,15,48,5,8,2,13,44,20,1017.6,1014.1,1,3,19.4,28.5,0,0
9,30.8,0,7,12.4,4,39,14,4,19,22,68,34,1016.3,1013.5,4,1,18.3,29.1,0,0
14.9,40.9,0,8,11.1,10,74,2,1,15,33,29,8,1005.1,1000.6,6,3,26.2,39.5,0,0
17,23,0.4,15.2,6,15,50,16,15,24,31,85,40,1006,1009.9,8,6,18,20.7,0,0
10.2,23.4,0,6.6,11.8,15,44,15,4,26,24,46,30,1017.2,1017.1,7,1,17.7,22.7,0,0
7.7,24.9,0,6.2,12.3,4,44,7,15,20,28,54,42,1017.4,1015,4,2,18.8,23.7,0,0
11.2,25.6,0,6.8,10.8,4,43,7,15,13,26,66,41,1012.9,1010.7,7,2,17.9,23.7,0,0
8.5,24.6,0,6.2,9.7,16,56,8,8,22,24,59,46,1013.5,1013.9,2,7,19.3,22.8,0,0
8.8,24.6,0,5,12.1,4,44,7,14,17,24,54,42,1019.7,1017.1,2,5,18.5,22.9,0,0
9.1,35,0,6,10.1,2,48,11,10,15,26,49,9,1012.8,1007.3,1,7,19.4,34.3,0,0
14.5,22.3,0.8,8.4,11.4,1,61,8,15,31,31,65,27,1012.3,1015.5,6,3,16.7,20.5,0,0
6.6,23.2,0,8,11.7,15,44,4,15,19,24,43,36,1017.7,1015.7,7,5,17.9,20.3,0,0
6.9,24.5,0,6,13.8,15,46,8,8,19,20,57,30,1015.5,1012.7,2,2,17.4,22.9,0,0
10.7,21.4,1.8,2.8,9.9,8,50,15,4,24,20,51,28,1016.5,1015,6,5,15.7,20.4,1,0
13.6,18,3.6,4,4.7,15,44,2,15,7,26,92,76,1011.2,1011.9,8,5,14.8,15.4,1,0
12.3,24.9,0,5.2,11.6,4,56,7,14,26,31,52,39,1024.1,1021.6,6,0,16.2,23.9,0,0
11.3,30,0,7,12,3,56,3,3,31,33,61,22,1025,1020.5,0,0,17.2,29.4,0,0
11.1,32.2,0,8,11.6,11,39,11,12,28,20,54,34,1021.3,1017.8,0,0,19.3,31.2,0,0
12.5,34.5,0,8.2,11.6,11,46,6,12,19,17,45,20,1018.8,1015.6,1,1,22.1,33,0,0
15.8,35.5,0,9.6,10.9,4,39,11,12,28,11,38,21,1016.6,1013.7,0,3,24.4,34,0,0
18.3,36.9,0,8,9.3,1,37,2,16,15,22,36,22,1014.6,1012.3,1,6,26.4,35,0,0
16.1,31.6,0,7.2,1.7,8,28,4,15,17,20,55,45,1016,1015.2,2,7,23.1,28.6,0,0
18,36.7,0,3.8,4.4,6,39,12,6,15,31,73,26,1017,1013.9,8,8,21.7,33.3,0,0
18.2,32.2,1.2,4.6,5.2,13,28,4,7,9,15,89,47,1017.1,1015.2,8,6,20.3,29.5,1,0
17.3,38.2,0.8,4,10,5,48,11,10,20,19,48,18,1014.6,1012.5,6,3,25,37.5,0,0
20,39.7,0,9.2,9.5,11,57,2,2,22,24,30,14,1011.6,1007.6,3,3,27.7,38.8,0,0
15.5,21.7,0.2,14.2,7.3,1,69,1,16,24,31,65,48,1011.5,1013.1,7,5,18,18.6,0,0
13.4,21.9,0,6.4,4.7,8,43,5,16,9,24,59,56,1017,1016.5,7,7,17,20.4,0,0
13.1,23.8,0,3.6,2,8,33,5,4,2,19,71,48,1019.4,1017.5,7,5,17.3,21.2,0,0
8.8,17.8,2.2,4.8,0.9,14,43,15,4,15,26,52,41,1027.6,1027.2,7,7,13.6,16.9,1,0
7.5,21.5,0.2,2.8,5.5,4,33,15,4,9,15,84,49,1026.1,1023.9,7,7,13.3,20.5,0,0
6.5,25.1,0,2.4,11,4,37,12,12,13,9,85,28,1024.1,1021.1,1,3,12.8,23,0,0
11.5,19,9,2.8,1.2,5,46,10,5,13,28,74,54,1013.6,1012.4,8,8,13.7,17.2,1,0
14.9,21.6,2.8,2.6,4.9,9,56,5,1,24,31,87,60,1011.6,1013.7,7,7,17.1,19.2,1,0
12.5,21.8,1,3.2,0.5,5,26,11,10,11,15,88,52,1019,1017.4,7,7,15.1,20.4,0,0
9.4,33.3,0,2,9.8,10,50,11,2,9,28,70,23,1013.7,1008.2,2,5,16.6,31.7,0,0
16.6,28.6,0,11.6,0.3,10,85,2,9,24,24,18,88,1003.5,1006.8,7,8,27.2,17.8,0,0
8.3,20.8,2.4,5.4,4.7,5,39,10,5,15,24,76,55,1022.3,1019.7,8,8,13.2,19.5,1,0
10.5,18.3,2.8,1.8,3.6,8,31,16,16,11,17,89,51,1016.1,1016.5,7,8,13,17.5,1,0
10.7,20.9,0,3.2,8.1,4,41,13,14,13,20,76,43,1030,1027.7,7,2,13,20.2,0,0
7,26.5,0,1.8,9.2,4,31,3,3,17,13,81,38,1028.6,1024.6,1,1,12.9,25.3,0,0
10.8,29.5,0,4,9.7,5,37,11,10,9,20,62,20,1022.8,1019.3,0,3,17.8,28.9,0,0
9.9,22.4,0.2,6.2,9.6,15,33,4,4,22,22,89,54,1023.2,1022,5,5,16.1,20.7,0,0
13.2,21.3,0,3,4.4,4,39,14,4,26,30,66,63,1027.2,1025.3,7,3,17.3,19,0,0
8.7,23.2,0,2.4,9.7,15,35,7,14,15,20,76,50,1027.2,1023.7,1,0,16.8,21.1,0,0
4.1,26,0,3.4,9.5,16,31,15,8,4,17,88,27,1024.4,1021.5,3,6,14.1,24.9,0,0
12.3,20.1,0.2,3,0.6,4,26,7,13,15,11,91,65,1025,1023.7,7,7,16.4,19.5,0,0
6.5,28.6,0,0.4,7.4,5,33,2,5,13,15,72,24,1022.3,1017.2,2,8,16.9,28.2,0,0
5,18.7,1.6,1.2,3.2,15,33,2,15,6,19,81,56,1019.9,1017.9,5,6,12.9,16.1,1,0
4.7,19.2,0,1.2,4.7,8,30,5,16,4,20,67,66,1019.5,1018.1,2,7,14.7,16.3,0,0
8.4,19,0.4,2.2,6.1,7,50,14,14,28,30,84,50,1022.9,1023.7,3,7,13.9,15.9,0,0
7.5,17.5,0,2.2,5.7,7,41,7,7,19,26,55,39,1028.8,1025.7,8,1,13.6,16.2,0,0
1.8,20.4,0,2,9,3,39,3,6,17,13,70,26,1023.8,1017.7,1,1,11.9,19.6,0,0
8.5,16,10.2,2.2,1.7,16,33,16,16,9,24,65,60,1016.8,1017.3,7,7,14.2,14.5,1,0
8.1,19.6,11.2,1,3.7,9,54,10,5,15,33,88,59,1020.5,1019.6,7,7,13.7,18.7,1,0
13.4,21.4,1,0.6,7.1,9,41,5,9,17,28,73,63,1022.6,1021,4,4,17.7,20.6,0,0
13.4,26.1,0,3,5.9,10,65,2,10,28,33,61,25,1013.6,1008,4,8,17.1,23.3,0,0
11.4,16.8,1,6.6,5.1,1,37,9,1,11,19,74,44,1016.5,1017.5,6,6,14.2,16.3,0,0
6.4,17.6,0,3,5.3,8,28,10,16,15,13,84,53,1024.6,1024.8,7,6,11.3,17.5,0,0
8.5,17.4,1.2,1,8.1,8,43,15,4,20,26,83,59,1024.1,1024.7,6,5,13.2,14.6,1,0
1.3,17.9,0,2.8,9.7,6,35,11,11,11,20,76,33,1028.8,1023.5,0,5,10.3,17.7,0,0
6.4,15.2,4.2,1.8,9.4,15,41,4,14,19,22,61,49,1027.7,1026.6,1,1,12.5,14.2,1,0
4.6,15,0,2.2,3.3,3,24,12,6,11,13,80,57,1025.8,1022.2,6,7,9.6,14.1,0,0
7.8,22.7,0.8,0.4,8.8,2,37,6,11,22,19,66,31,1022.7,1020,2,2,12.9,22.5,0,0
12.7,25.3,0,4.4,6.8,2,44,11,2,22,19,60,25,1024.5,1021.8,6,4,14.8,25.2,0,0
12.9,27.8,0,4.6,9.6,2,46,11,2,19,22,53,27,1026.3,1024.2,1,3,18.8,27.3,0,0
13.8,26.5,0,5.6,5.2,11,43,6,2,20,20,53,28,1026.8,1023.3,5,5,17.5,24.8,0,0
9.5,16.1,1.4,0.8,7.9,16,39,16,8,22,24,77,69,1012.6,1013.6,2,5,12.8,14.2,1,0
4.7,14.6,1.8,0.8,2.9,13,26,8,16,9,6,95,65,1020.1,1018.4,5,8,10.9,13.4,1,0
8,16,9.6,1.2,7,8,35,10,16,13,20,97,64,1016.1,1015.2,7,3,11.9,14.2,1,0
0.7,12.1,0,0.8,2.7,13,20,11,13,4,15,94,74,1017.7,1014.3,5,7,6.7,12,0,0
3.4,16.7,3,0.2,9.2,3,28,15,7,7,17,95,57,1023,1022.4,1,2,8.7,16.1,1,0
6.3,15.2,0.2,0.8,4.3,1,33,10,16,15,19,87,63,1026.7,1025.8,4,7,10.5,14.2,0,0
9.2,17.6,0.6,2.2,6.7,16,39,10,16,13,24,96,77,1027.2,1026.2,4,8,12.8,15.3,0,0
7.9,16.2,0,0.2,0.8,8,28,16,9,13,9,69,76,1030.4,1028.9,8,8,13.2,15.3,0,0
6,14.8,0.2,1.4,1.1,12,20,2,3,9,11,97,66,1031.5,1028.6,7,7,10.6,13.9,0,0
6.1,14.6,0,1,3.5,2,30,11,11,11,13,88,63,1027.9,1024.2,7,7,8.8,13.4,0,0
5.7,16.1,0,0.6,0.3,2,39,11,2,19,17,79,61,1022.1,1019,7,7,10.4,16,0,0
10.7,15.2,2.4,1.4,0.9,4,43,14,4,6,24,99,79,1013.7,1013,8,8,12.4,14.8,1,0
8.8,15.2,0.4,0,4.7,15,35,8,15,17,19,85,87,1022.1,1023,7,7,12.5,13.9,0,0
10.2,14.7,1.4,0.2,0,2,26,11,2,13,11,92,85,1026.9,1023.7,8,7,12,13.2,1,0
9.5,13,0.2,1,0,2,41,2,2,20,22,82,79,1020.8,1015.9,8,8,10.4,12.5,0,0
6.4,14.1,22,1.8,7,16,35,15,8,11,13,82,61,1022.2,1024.3,1,3,10.1,12.2,1,0
5.8,13.4,0.2,3.2,0.7,2,35,2,2,17,26,78,70,1029.3,1025.8,8,8,9.8,12.5,0,0
9.8,15,0,1,3.6,2,39,2,2,19,22,71,62,1024.4,1019.8,8,8,10.4,14.1,0,0
3.8,13.6,5.8,1.4,7,4,26,5,14,7,13,100,70,1017.8,1015.3,7,4,7.3,12.8,1,0
-0.9,13.3,0,1,8.1,11,33,6,2,9,15,95,61,1024.6,1020.1,1,3,3.9,11.9,0,0
5.8,14.8,2.6,0.4,4.3,3,37,3,3,17,24,83,63,1022.4,1022.8,8,3,8.9,13.8,1,0
1.8,14.6,0.2,1.2,8.8,3,30,13,3,7,17,86,56,1029.7,1027.4,1,1,5.5,14.1,0,0
0.7,14.6,0,1,9.1,13,24,12,13,7,13,92,48,1029,1026.8,0,1,4.7,14,0,0
-0.2,15,0.2,0.4,9,2,26,2,2,13,15,99,54,1023,1020.5,1,1,4.5,14.2,0,0
4.5,14,0,1.2,0.4,2,31,2,10,19,13,69,74,1020.4,1019.8,7,7,8.7,13.9,0,0
7.9,15.1,0.8,0.4,7.3,8,31,11,16,4,11,92,68,1024.4,1024.1,3,4,9.5,13.4,0,0
10.2,17.5,3.2,0.6,6.4,9,48,10,9,20,26,96,58,1022,1020.5,7,7,12.3,15.4,1,0
5.4,13.7,3.2,1.4,6.3,9,41,2,1,13,20,90,65,1016.6,1017.4,3,5,8.8,11.7,1,0
3.6,13.3,0.8,0.8,4.1,10,30,2,5,15,17,94,66,1024,1024.7,7,6,7.4,12.5,0,0
1.3,13.9,0.6,1,7.5,15,30,10,8,11,17,93,65,1032.9,1033,1,2,6.7,12.4,0,0
-0.4,13.1,0.2,0.6,7.1,2,24,11,11,13,13,95,69,1035.5,1032,1,7,4.6,11.4,0,0
1.3,12.6,0.2,0.6,9.1,2,33,11,2,13,15,93,58,1030.6,1028.8,0,5,4.6,11.7,0,0
4.1,14.6,0,2.8,6,2,30,11,11,17,17,85,63,1030.7,1027.5,6,7,6.1,14,0,0
10.3,15.6,6.2,0.8,3.3,2,28,5,16,17,15,100,78,1019.3,1019.2,7,4,12.1,15.2,1,0
5.4,15.5,0.4,0.8,4.1,2,33,2,2,11,15,94,77,1022.1,1019.5,5,7,10.7,14.1,0,0
4.4,12.9,2.2,0.8,2,4,35,4,14,11,22,93,66,1028.8,1029.9,7,7,10.1,12,1,0
8.1,12.1,0,1.4,0.1,4,28,7,11,6,9,73,68,1034.2,1031.5,7,7,10.3,11.5,0,0
6.3,16.5,1.2,0.8,6.4,10,30,10,10,17,15,100,63,1024.6,1022.8,8,4,9.5,16.2,1,0
2.9,13.4,4.2,1.4,4,1,26,5,10,7,15,77,64,1024.1,1023.1,3,7,9.8,11.8,1,0
4.5,15,0,0.8,7.3,2,31,2,2,15,19,77,53,1024.7,1021.8,3,7,9,13.2,0,0
5.3,16.1,3.2,0.8,8.1,5,39,10,5,15,20,82,59,1016.6,1016.2,4,5,10.6,15.1,1,0
6.4,16.3,2.4,2.2,6,2,46,2,10,15,30,82,59,1020.1,1016.5,3,6,10.3,14.1,1,0
10.8,16.8,1.8,0.8,5.8,5,37,5,1,15,17,94,59,1023.4,1021.8,8,5,11.9,14.8,1,0
